Name,Lat,Long,Lat/Long,Price
LA BAGEL DELIGHT 90 COURT STREET New York NY 11201,40.691189,-73.9918686,"{lng=-73.9918686, lat=40.691189}",$6.25 
HAMILTON DELI 1129 AMSTERDAM AVENUE New York NY 10025,40.8064211,-73.9609312,"{lng=-73.96093119999999, lat=40.8064211}",$5.00 
CAPRI IV DELI 2073 BARTOW AVE New York NY 10475,40.8695788,-73.8281765,"{lng=-73.8281765, lat=40.8695788}",$6.75 
AIRPORT DELI 84-20 ASTORIA BOULEVARD New York NY 11370,40.7644867,-73.8845333,"{lng=-73.8845333, lat=40.7644867}",$6.75 
LUCKY DELI 12 EAST 37 STREET New York NY 10016,40.74727,-73.9800645,"{lng=-73.9800645, lat=40.74727}",$6.25 
101 DELI 10016 ROCKAWAY BEACH BOULEVARD New York NY 11694,40.5838155,-73.8216636,"{lng=-73.8216636, lat=40.5838155}",$4.50 
WEST 53RD GOURMET DELI 1301 AVENUE OF THE AMERICAS New York NY 10019,40.7616971,-73.9801263,"{lng=-73.9801263, lat=40.7616971}",$5.25 
BAGEL DELI / VILLAGE GREEN DELI 262 N ARDEN AVE New York NY 10312,40.5523287,-74.1910312,"{lng=-74.1910312, lat=40.5523287}",$6.50 
PIZZA DELI PLUS 2436 STILLWELL AVENUE New York NY 11223,40.587915,-73.983965,"{lng=-73.983965, lat=40.587915}",$5.25 
TOWNE DELI & PIZZA 5373 ARTHUR KILL ROAD New York NY 10307,40.513571,-74.248143,"{lng=-74.248143, lat=40.513571}",$3.25 
CARNEGIE DELICATESSEN & RESTAURANT 854 7 AVENUE New York NY 10019,40.7686973,-73.9918181,"{lng=-73.9918181, lat=40.7686973}",$3.00 
SPEEDY DELI 1271 BROADWAY New York NY 10001,40.7482511,-73.9884413,"{lng=-73.98844129999999, lat=40.7482511}",$6.75 
BEN'S DELI 209 WEST 38 STREET New York NY 10018,40.755322,-73.9932872,"{lng=-73.9932872, lat=40.755322}",$3.25 
ACAPULCO DELI & RESTAURANT 1116 MANHATTAN AVE New York NY 11222,40.7367143,-73.9550847,"{lng=-73.9550847, lat=40.7367143}",$3.25 
MILLIE'S DELI 13-01 JACKSON AVENUE New York NY 11101,40.7442847,-73.9498136,"{lng=-73.9498136, lat=40.7442847}",$5.00 
FOOD FAIR DELI & PIZZA 433 WEST 34 STREET New York NY 10001,40.7536854,-73.9991637,"{lng=-73.9991637, lat=40.75368539999999}",$6.75 
GRAND STREET DELI & MINI MARKET 42 GRAND STREET New York NY 10013,40.7158082,-73.9656821,"{lng=-73.9656821, lat=40.7158082}",$3.75 
LANE DELI & CATERING 75 MAIDEN LANE New York NY 10038,40.7077614,-74.0075542,"{lng=-74.0075542, lat=40.7077614}",$6.50 
L & M ITALIAN DELI & CATERING 3608 31 STREET New York NY 11106,40.7595044,-73.9271644,"{lng=-73.9271644, lat=40.7595044}",$5.75 
MILLION DELI 1624 2 AVENUE New York NY 10028,40.7766412,-73.9521468,"{lng=-73.9521468, lat=40.77664120000001}",$3.00 
SCALINI FEDELI 165 DUANE STREET New York NY 10013,40.7174312,-74.009317,"{lng=-74.009317, lat=40.7174312}",$4.75 
3 DELI & GRILL 133 EAST 55 STREET New York NY 10022,40.7593941,-73.9697795,"{lng=-73.9697795, lat=40.7593941}",$4.75 
