id,Name,Lat,Long,Lat/Long,Price,boro_name,shape_area,shape_leng,boro_code
35,TREVI DELI 48 UNION SQUARE EAST New York NY 10003,40.736167000000002,-73.989214799999999,"{lng=-73.9892148, lat=40.73616699999999}",$4.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
36,CROWN GOURMET DELI 1674 BROADWAY New York NY 10019,40.762809400000002,-73.982872000000000,"{lng=-73.982872, lat=40.76280939999999}",$3.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
41,HELLO DELI 213 WEST 53 STREET New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$3.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
43,LITE DELIGHTS 51 EAST HOUSTON STREET New York NY 10012,40.724624700000000,-73.994598499999995,"{lng=-73.9945985, lat=40.7246247}",$6.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
45,HAMILTON DELI 1129 AMSTERDAM AVENUE New York NY 10025,40.806421100000001,-73.960931200000005,"{lng=-73.96093119999999, lat=40.8064211}",$5.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
48,LUCKY DELI 12 EAST 37 STREET New York NY 10016,40.747270000000000,-73.980064499999997,"{lng=-73.9800645, lat=40.74727}",$6.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
50,WEST 53RD GOURMET DELI 1301 AVENUE OF THE AMERICAS New York NY 10019,40.761697099999999,-73.980126299999995,"{lng=-73.9801263, lat=40.7616971}",$5.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
54,CARNEGIE DELICATESSEN & RESTAURANT 854 7 AVENUE New York NY 10019,40.768697299999999,-73.991818100000003,"{lng=-73.9918181, lat=40.7686973}",$3.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
55,SPEEDY DELI 1271 BROADWAY New York NY 10001,40.748251099999997,-73.988441300000005,"{lng=-73.98844129999999, lat=40.7482511}",$6.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
56,BEN'S DELI 209 WEST 38 STREET New York NY 10018,40.755322000000000,-73.993287199999997,"{lng=-73.9932872, lat=40.755322}",$3.25,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
59,FOOD FAIR DELI & PIZZA 433 WEST 34 STREET New York NY 10001,40.753685400000002,-73.999163699999997,"{lng=-73.9991637, lat=40.75368539999999}",$6.75,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
61,LANE DELI & CATERING 75 MAIDEN LANE New York NY 10038,40.707761400000003,-74.007554200000001,"{lng=-74.0075542, lat=40.7077614}",$6.50,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
63,MILLION DELI 1624 2 AVENUE New York NY 10028,40.776641200000000,-73.952146799999994,"{lng=-73.9521468, lat=40.77664120000001}",$3.00,Manhattan,636453844.4090000400000000000000000000000,358410.6352850000300000000000000000000,1.0000000000000000000000000000000
